data;produto;operacao_comercial;importado/exportado;dispendio/receita
01/06/2013;ETANOL ANIDRO;EXPORTAÇÃO;177449;125272415
01/07/2013;ETANOL HIDRATADO;IMPORTAÇÃO;97121;291655
01/07/2013;ETANOL ANIDRO;IMPORTAÇÃO;10099009;8694268
01/07/2013;ETANOL HIDRATADO;EXPORTAÇÃO;90358921;56802975
01/07/2013;ETANOL ANIDRO;EXPORTAÇÃO;263072798;166649965
01/08/2013;ETANOL HIDRATADO;EXPORTAÇÃO;94403433;57459830
01/08/2013;ETANOL ANIDRO;EXPORTAÇÃO;395400674;256873919
01/08/2013;ETANOL HIDRATADO;IMPORTAÇÃO;1;7034
01/08/2013;ETANOL ANIDRO;IMPORTAÇÃO;1;8532
01/09/2013;ETANOL ANIDRO;IMPORTAÇÃO;6103;47651
01/09/2013;ETANOL HIDRATADO;EXPORTAÇÃO;115838513;68594765
01/09/2013;ETANOL ANIDRO;EXPORTAÇÃO;181164007;113662886
01/09/2013;ETANOL HIDRATADO;IMPORTAÇÃO;50;126897
01/10/2013;ETANOL HIDRATADO;IMPORTAÇÃO;2236;20239
01/10/2013;ETANOL HIDRATADO;EXPORTAÇÃO;161414721;95125205
01/10/2013;ETANOL ANIDRO;EXPORTAÇÃO;175591833;109273664
01/10/2013;ETANOL ANIDRO;IMPORTAÇÃO;1;4758
01/11/2013;ETANOL ANIDRO;IMPORTAÇÃO;18505;41306
01/11/2013;ETANOL ANIDRO;EXPORTAÇÃO;61481147;40672512
01/11/2013;ETANOL HIDRATADO;EXPORTAÇÃO;122145833;73170699
01/11/2013;ETANOL HIDRATADO;IMPORTAÇÃO;0;5890
01/12/2013;ETANOL ANIDRO;IMPORTAÇÃO;8971595;4552560
01/12/2013;ETANOL ANIDRO;EXPORTAÇÃO;26419238;16626585
01/12/2013;ETANOL HIDRATADO;EXPORTAÇÃO;69596688;41868958
01/12/2013;ETANOL HIDRATADO;IMPORTAÇÃO;3;32738
01/01/2014;ETANOL HIDRATADO;IMPORTAÇÃO;1248;15768
01/01/2014;ETANOL ANIDRO;IMPORTAÇÃO;37986288;19904285
01/01/2014;ETANOL HIDRATADO;EXPORTAÇÃO;92985931;55983038
01/01/2014;ETANOL ANIDRO;EXPORTAÇÃO;100263282;66770956
01/02/2014;ETANOL ANIDRO;EXPORTAÇÃO;5366635;3766277
01/02/2014;ETANOL HIDRATADO;EXPORTAÇÃO;59806023;36064222
01/02/2014;ETANOL ANIDRO;IMPORTAÇÃO;73678684;37647715
01/02/2014;ETANOL HIDRATADO;IMPORTAÇÃO;1;8715
01/03/2014;ETANOL HIDRATADO;EXPORTAÇÃO;26149936;16605042
01/03/2014;ETANOL ANIDRO;EXPORTAÇÃO;51583407;36095451
01/03/2014;ETANOL ANIDRO;IMPORTAÇÃO;99217171;50001499
01/03/2014;ETANOL HIDRATADO;IMPORTAÇÃO;1;9161
01/04/2014;ETANOL HIDRATADO;IMPORTAÇÃO;24088;47941
01/04/2014;ETANOL HIDRATADO;EXPORTAÇÃO;37560243;23284793
01/04/2014;ETANOL ANIDRO;IMPORTAÇÃO;68479084;36732108
01/04/2014;ETANOL ANIDRO;EXPORTAÇÃO;100760774;72720876
01/05/2014;ETANOL HIDRATADO;IMPORTAÇÃO;72411;217350
01/05/2014;ETANOL HIDRATADO;EXPORTAÇÃO;19795784;12681441
01/05/2014;ETANOL ANIDRO;IMPORTAÇÃO;25690322;13706512
01/05/2014;ETANOL ANIDRO;EXPORTAÇÃO;120949134;85989818
01/06/2014;ETANOL HIDRATADO;IMPORTAÇÃO;2296;20355
01/06/2014;ETANOL ANIDRO;IMPORTAÇÃO;26174131;15162272
01/06/2014;ETANOL HIDRATADO;EXPORTAÇÃO;64522802;39694707
01/06/2014;ETANOL ANIDRO;EXPORTAÇÃO;103501115;71925361
01/07/2014;ETANOL ANIDRO;IMPORTAÇÃO;516298;351606
01/07/2014;ETANOL ANIDRO;EXPORTAÇÃO;41124487;27392376
01/07/2014;ETANOL HIDRATADO;EXPORTAÇÃO;49595918;29956172
01/07/2014;ETANOL HIDRATADO;IMPORTAÇÃO;49;180715
01/08/2014;ETANOL HIDRATADO;IMPORTAÇÃO;25254;49238
01/08/2014;ETANOL ANIDRO;EXPORTAÇÃO;36522714;24071044
01/08/2014;ETANOL HIDRATADO;EXPORTAÇÃO;41999877;25466193
01/08/2014;ETANOL ANIDRO;IMPORTAÇÃO;54875935;30896153
01/09/2014;ETANOL HIDRATADO;IMPORTAÇÃO;70976;197138
01/09/2014;ETANOL ANIDRO;IMPORTAÇÃO;13241765;7965251
01/09/2014;ETANOL HIDRATADO;EXPORTAÇÃO;46301679;29235371
01/09/2014;ETANOL ANIDRO;EXPORTAÇÃO;73144456;49357765
01/10/2014;ETANOL ANIDRO;IMPORTAÇÃO;33362;44347
01/10/2014;ETANOL HIDRATADO;IMPORTAÇÃO;98598;391932
01/10/2014;ETANOL ANIDRO;EXPORTAÇÃO;28122182;17448844
01/10/2014;ETANOL HIDRATADO;EXPORTAÇÃO;72902913;43902556
01/11/2014;ETANOL HIDRATADO;IMPORTAÇÃO;24828;108661
01/11/2014;ETANOL ANIDRO;IMPORTAÇÃO;11948471;6026777
01/11/2014;ETANOL ANIDRO;EXPORTAÇÃO;41051551;23635020
01/11/2014;ETANOL HIDRATADO;EXPORTAÇÃO;50971719;30430082
01/12/2014;ETANOL HIDRATADO;IMPORTAÇÃO;49772;176094
01/12/2014;ETANOL ANIDRO;EXPORTAÇÃO;54494251;30043108
01/12/2014;ETANOL HIDRATADO;EXPORTAÇÃO;78438177;45510434
01/12/2014;ETANOL ANIDRO;IMPORTAÇÃO;39742;21537869
01/01/2015;ETANOL HIDRATADO;IMPORTAÇÃO;24216;60505
01/01/2015;ETANOL HIDRATADO;EXPORTAÇÃO;57560264;31608583
01/01/2015;ETANOL ANIDRO;EXPORTAÇÃO;96960836;56675548
01/01/2015;ETANOL ANIDRO;IMPORTAÇÃO;80764;42868302
01/02/2015;ETANOL HIDRATADO;IMPORTAÇÃO;24878;110317
01/02/2015;ETANOL ANIDRO;EXPORTAÇÃO;39988951;24240286
01/02/2015;ETANOL ANIDRO;IMPORTAÇÃO;67541261;35075951
01/02/2015;ETANOL HIDRATADO;EXPORTAÇÃO;31103;17241545
01/03/2015;ETANOL HIDRATADO;IMPORTAÇÃO;71797;199360
01/03/2015;ETANOL ANIDRO;EXPORTAÇÃO;39032611;23564191
01/03/2015;ETANOL HIDRATADO;EXPORTAÇÃO;71837292;38810865
01/03/2015;ETANOL ANIDRO;IMPORTAÇÃO;92384233;47689517
01/04/2015;ETANOL HIDRATADO;EXPORTAÇÃO;8429754;3913260
01/04/2015;ETANOL ANIDRO;EXPORTAÇÃO;12678351;6584830
01/04/2015;ETANOL ANIDRO;IMPORTAÇÃO;105574079;51859368
01/04/2015;ETANOL HIDRATADO;IMPORTAÇÃO;0;4634
01/05/2015;ETANOL HIDRATADO;IMPORTAÇÃO;26456;118198
01/05/2015;ETANOL HIDRATADO;EXPORTAÇÃO;16760704;9621664
01/05/2015;ETANOL ANIDRO;EXPORTAÇÃO;75134296;36987869
01/05/2015;ETANOL ANIDRO;IMPORTAÇÃO;50263;26141188
01/06/2015;ETANOL HIDRATADO;IMPORTAÇÃO;97896;249688
01/06/2015;ETANOL HIDRATADO;EXPORTAÇÃO;24468809;11308889
01/06/2015;ETANOL ANIDRO;EXPORTAÇÃO;67266268;33260641
01/06/2015;ETANOL ANIDRO;IMPORTAÇÃO;68686401;32470408
